treatment,Tl (°C),A_net (μmol/m^2/s),gs (mol/m^2/s),Ci (μbar)
WT,6.451021464,4.543025651,,
WT,10.09551246,8.604877424,,
WT,14.99457487,15.48439778,,
WT,20.22723932,23.77425348,,
WT,25.22891887,32.33745314,,
WT,30.1861554,46.78117894,,
WT,35.38278733,51.728337,,
WT,40.14093467,45.23011223,,
AR1,6.27394636,1.711711712,,
AR1,10.09578544,3.873873874,,
AR1,15.05747126,7.717717718,,
AR1,20.22030651,13.003003,,
AR1,25.31609195,20.09009009,,
AR1,30.27777778,31.62162162,,
AR1,35.37356322,41.23123123,,
AR1,40.20114943,38.46846847,,
AR2,5.603448276,0.870870871,,
AR2,9.961685824,2.432432432,,
AR2,15.05747126,4.834834835,,
AR2,20.1532567,8.798798799,,
AR2,25.11494253,13.72372372,,
AR2,30.14367816,20.21021021,,
AR2,35.10536398,24.71471471,,
AR2,40.06704981,23.93393393,,
WT,6.455836361,,0.2229657,
WT,10.11566795,,0.238110166,
WT,15.01918926,,0.249853319,
WT,20.27132412,,0.278394652,
WT,25.25301055,,0.412285687,
WT,30.21004524,,0.50729813,
WT,35.43259474,,0.644557491,
WT,40.1762163,,0.747783367,
AR1,6.275167785,,0.137931034,
AR1,10.16778523,,0.146026987,
AR1,15.06711409,,0.167616192,
AR1,20.23489933,,0.203598201,
AR1,25.33557047,,0.286356822,
AR1,30.30201342,,0.459070465,
AR1,35.40268456,,0.552623688,
AR1,40.23489933,,0.739730135,
AR2,5.604026846,,0.16041979,
AR2,9.899328859,,0.164017991,
AR2,15.06711409,,0.167616192,
AR2,20.16778523,,0.180209895,
AR2,25.13422819,,0.248575712,
AR2,30.16778523,,0.288155922,
AR2,35.13422819,,0.457271364,
AR2,40.10067114,,0.570614693,
WT,6.469440128,,,268.5299382
WT,10.13230727,,,247.6362845
WT,15.00923456,,,213.6487697
WT,20.27151889,,,182.6522572
WT,25.25302002,,,188.7529123
WT,30.21752858,,,173.9697034
WT,35.43303933,,,188.8517773
WT,40.20720549,,,215.5520677
AR1,5.64799908,,,346.6629054
AR1,9.937672493,,,321.5030618
AR1,15.09832107,,,289.6021878
AR1,20.19215731,,,259.0502099
AR1,25.15548816,,,245.1390726
AR1,30.18945492,,,246.9705181
AR1,35.18689627,,,235.533363
AR1,40.12959982,,,279.4181951
AR2,6.288300655,,,358.8109476
AR2,10.17740197,,,343.0938075
AR2,15.13826759,,,318.1631641
AR2,20.26525845,,,285.8122988
AR2,25.3629183,,,272.3517997
AR2,30.29088086,,,250.3444831
AR2,35.43039903,,,273.9906997
AR2,40.3012592,,,296.7356399